NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
2021,Nordeste,2,Pernambuco,PE,26,Afrânio,2600203,0,2,1,1,1,587,Administração Pública,1152250,Administração pública,"""0413A02""",4,"Negócios, administração e direito",41,Negócios e administração,413,Gestão e administração,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,9,0,0,29,0,0,0,29,0,0,0,0,0,0,0,15,5,6,2,1,0,0,9,4,14,1,0,1,21,15,6,0,0,0,10,2,5,1,3,0,0,4,3,14,0,0,0,4,3,1,0,0,0,2,1,0,0,1,0,0,1,0,3,0,0,0,29,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,3,0,8,8,7,0,7,0,2,2,2,0,2,0,16,2,0,0,29,0,0,20,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Afrânio,2600203,0,2,1,1,1,587,Artes Visuais,1151733,Artes visuais formação de professor,"""0114A02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,2,1,0,1,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,4,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Afrânio,2600203,0,2,1,1,1,587,História,1152360,História formação de professor,"""0114H01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,15,2,0,0,0,10,4,2,0,1,0,0,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,3,0,0,0,0,0,0,0,6,5,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Afrânio,2600203,0,2,1,1,1,587,Letras - Português,1152005,Letras português formação de professor,"""0115L13""",1,Educação,11,Educação,115,Formação de professores de letras,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,2,0,0,0,12,5,3,2,1,1,0,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Belo Jardim,2601706,0,1,1,1,1,587,Engenharia De Computação,1516690,Engenharia de computação (DCN Engenharia),"""0714E04""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,714,Eletrônica e automação,1,1,1,1,1,80,80,0,0,80,0,0,0,360,360,0,0,360,0,0,0,76,14,62,76,0,76,4,72,0,0,0,0,0,0,0,0,2,72,0,1,0,1,0,0,27,5,43,1,0,0,123,19,104,123,0,2,116,2,2,0,1,0,0,49,6,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,123,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,37,20,0,17,26,63,37,20,0,17,26,0,0,0,0,0,0,1,10,0,0,65,11,0,89,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Belo Jardim,2601706,0,1,1,1,1,587,Engenharia De Controle E Automação,1516692,Engenharia de controle e automação,"""0714E05""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,714,Eletrônica e automação,1,1,1,1,1,80,80,0,0,80,0,0,0,282,282,0,0,282,0,0,0,65,17,48,65,0,65,12,53,0,0,0,0,0,0,0,0,3,53,4,2,2,1,0,0,25,4,31,0,0,5,104,25,79,104,0,2,86,8,4,2,2,0,0,37,9,52,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,14,0,9,24,42,20,15,0,10,22,0,0,0,0,0,0,0,30,0,0,44,21,0,63,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Belo Jardim,2601706,0,1,1,1,1,587,Engenharia Hídrica,1516689,Engenharia de recursos hídricos,"""0732E02""",7,"Engenharia, produção e construção",73,Arquitetura e construção,732,Engenharia civil e construção,1,1,1,1,1,80,80,0,0,80,0,0,0,305,305,0,0,305,0,0,0,37,13,24,37,0,37,4,33,0,0,0,0,0,0,0,0,2,24,6,2,1,2,0,0,11,5,18,2,0,1,72,29,43,72,0,2,53,8,4,2,3,0,0,25,7,35,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,11,0,8,13,30,19,11,0,9,12,0,0,0,0,0,0,2,13,0,0,30,7,0,51,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Belo Jardim,2601706,0,1,1,1,1,587,Engenharia Química,1516693,Engenharia química,"""0711E05""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,711,Engenharia química e de processos,1,1,1,1,1,80,80,0,0,80,0,0,0,301,301,0,0,301,0,0,0,54,30,24,54,0,54,11,43,0,0,0,0,0,0,0,0,5,44,4,1,0,0,0,0,13,3,35,1,0,2,99,53,46,99,0,5,81,8,2,1,1,1,0,30,6,59,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,21,18,0,14,18,40,21,18,0,14,19,0,0,0,0,0,0,0,12,0,0,40,14,0,64,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Cabo de Santo Agostinho,2602902,0,1,1,1,1,587,Engenharia Civil,1270379,Engenharia civil,"""0732E01""",7,"Engenharia, produção e construção",73,Arquitetura e construção,732,Engenharia civil e construção,1,1,1,1,1,140,140,0,0,120,0,20,0,790,790,0,0,784,0,6,0,106,46,60,106,0,102,38,64,0,0,0,0,0,1,0,3,8,73,16,1,2,4,1,1,39,15,50,1,0,1,356,147,209,356,0,8,265,57,12,5,7,1,1,122,34,193,5,1,1,7,2,5,7,0,0,3,4,0,0,0,0,0,1,0,6,0,0,0,106,0,356,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,22,0,20,26,100,72,45,0,44,28,0,0,0,0,0,0,11,59,0,0,72,34,0,139,217,0,3,4,0,0,0,0,0,42,0,37,1,2,0,2,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Cabo de Santo Agostinho,2602902,0,1,1,1,1,587,Engenharia De Materiais,1270383,Engenharia de materiais,"""0722E01""",7,"Engenharia, produção e construção",72,Produção e processamento,722,Materiais,1,1,1,1,1,140,140,0,0,120,0,20,0,683,683,0,0,683,0,0,0,119,44,75,119,0,119,15,104,0,0,0,0,0,0,0,0,5,80,11,9,8,4,2,0,44,13,50,2,0,10,301,120,181,301,0,5,213,40,20,13,8,2,0,111,42,132,5,0,11,4,4,0,4,0,0,2,1,1,0,0,0,0,1,1,2,0,0,0,119,0,301,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,45,27,0,23,38,116,77,45,0,39,39,0,0,0,0,0,0,8,50,0,0,89,30,0,133,168,0,2,2,0,0,0,0,0,23,0,21,3,10,0,10,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Cabo de Santo Agostinho,2602902,0,1,1,1,1,587,Engenharia Eletrônica,1270380,Engenharia eletrônica,"""0714E08""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,714,Eletrônica e automação,1,1,1,1,1,140,140,0,0,120,0,20,0,562,562,0,0,561,0,1,0,114,16,98,114,0,113,0,113,0,0,0,0,0,1,0,0,5,88,6,4,2,3,4,2,41,7,59,1,0,6,381,52,329,381,0,5,293,46,16,6,6,7,2,145,32,189,7,0,8,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,114,0,381,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,52,30,0,21,39,143,103,63,0,48,40,0,0,0,0,0,0,9,45,0,0,98,16,0,163,218,0,1,0,0,0,0,0,0,29,0,26,0,9,0,8,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Cabo de Santo Agostinho,2602902,0,1,1,1,1,587,Engenharia Elétrica,1270381,Engenharia elétrica,"""0713E05""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,713,Eletricidade e energia,1,1,1,1,1,140,140,0,0,120,0,20,0,592,592,0,0,590,0,2,0,111,18,93,111,0,111,11,100,0,0,0,0,0,0,0,0,5,84,8,5,4,4,1,0,42,15,44,1,0,9,387,75,312,387,0,5,300,52,11,10,8,1,0,143,37,190,8,0,9,2,1,1,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,111,0,387,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,48,28,0,24,38,123,85,46,0,45,38,0,0,0,0,0,0,8,42,0,0,86,25,0,150,237,0,1,1,0,0,0,0,0,43,0,40,1,6,0,6,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Cabo de Santo Agostinho,2602902,0,1,1,1,1,587,Engenharia Mecânica,1270382,Engenharia mecânica,"""0715E02""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,715,Engenharia mecânica e metalurgia,1,1,1,1,1,140,140,0,0,120,0,20,0,596,596,0,0,595,0,1,0,119,19,100,119,0,118,10,108,0,0,0,0,0,0,0,1,5,105,5,2,1,1,0,0,35,13,63,0,0,8,380,52,328,380,0,5,313,44,12,3,3,0,0,139,41,189,2,1,8,5,3,2,5,0,0,1,4,0,0,0,0,0,3,1,1,0,0,0,119,0,380,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,47,31,0,23,48,128,78,47,0,40,51,0,0,0,0,0,0,6,52,0,0,102,17,0,155,225,0,2,3,0,0,0,0,0,49,0,44,2,6,0,4,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Carpina,2604007,0,2,1,1,1,587,Administração Pública,1152250,Administração pública,"""0413A02""",4,"Negócios, administração e direito",41,Negócios e administração,413,Gestão e administração,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,15,0,0,28,0,0,0,28,0,0,0,4,0,0,0,3,12,7,6,2,2,0,8,2,17,1,0,4,49,28,21,0,0,0,7,13,15,6,5,3,0,14,5,21,1,0,8,10,4,6,0,0,0,2,1,4,1,2,0,0,4,0,3,0,0,3,32,0,49,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,3,0,15,15,8,0,7,0,3,3,1,0,1,0,7,5,0,0,32,0,0,43,5,1,7,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Carpina,2604007,0,2,1,1,1,587,Artes Visuais,1151733,Artes visuais formação de professor,"""0114A02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,12,0,0,0,3,12,8,7,4,0,1,8,6,15,1,0,5,7,4,3,0,0,0,0,1,2,2,2,0,0,2,1,4,0,0,0,0,0,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,9,0,10,0,4,4,2,0,2,0,4,11,0,0,0,0,0,31,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Carpina,2604007,0,2,1,1,1,587,Computação,113671,Computação formação de professor,"""0114C05""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Carpina,2604007,0,2,1,1,1,587,Física,88608,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,1,1,0,0,3,1,0,0,0,1,26,5,21,0,0,0,0,2,9,6,6,2,1,3,5,11,0,0,7,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,5,0,26,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,0,4,0,0,0,0,0,0,0,3,20,0,0,5,0,0,23,3,0,1,1,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0
2021,Nordeste,2,Pernambuco,PE,26,Carpina,2604007,0,2,1,1,1,587,História,1152360,História formação de professor,"""0114H01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,13,0,0,0,3,2,6,6,7,0,0,3,6,11,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,10,0,6,0,1,1,1,0,0,0,1,7,0,0,0,0,0,21,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
